Player,Salary
Kevin De Bruyne,"£ 20,800,000"
Erling Haaland,"£ 19,500,000"
Casemiro,"£ 18,200,000"
Mohamed Salah,"£ 18,200,000"
Marcus Rashford,"£ 15,600,000"
Jack Grealish,"£ 15,600,000"
Bruno Fernandes,"£ 15,600,000"
Bernardo Silva,"£ 15,600,000"
Kai Havertz,"£ 14,560,000"
Gabriel Jesus,"£ 13,780,000"
Mason Mount,"£ 13,000,000"
Reece James,"£ 13,000,000"
John Stones,"£ 13,000,000"
Martin Ødegaard,"£ 12,480,000"
Declan Rice,"£ 12,480,000"
İlkay Gündoğan,"£ 11,960,000"
Phil Foden,"£ 11,700,000"
Virgil van Dijk,"£ 11,440,000"
Rodri,"£ 11,440,000"
Thomas Partey,"£ 10,400,000"
Ben Chilwell,"£ 10,400,000"
Josko Gvardiol,"£ 10,400,000"
Wesley Fofana,"£ 10,400,000"
Antony,"£ 10,400,000"
Christopher Nkunku,"£ 10,140,000"
Kevin De Bruyne,
Erling Haaland,
Casemiro,
Mohamed Salah,
Marcus Rashford,
Jack Grealish,
Bruno Fernandes,
Bernardo Silva,
Kai Havertz,
Gabriel Jesus,
Mason Mount,
Reece James,
John Stones,
Martin Ødegaard,
Declan Rice,
İlkay Gündoğan,
Phil Foden,
Virgil van Dijk,
Rodri,
Thomas Partey,
Ben Chilwell,
Josko Gvardiol,
Wesley Fofana,
Antony,
Christopher Nkunku,
